IE_NAME;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP46;CP_QUANTITY;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
Black-0043;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0043;200;;;1,99;USD
Black-0044;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0044;200;;;1,99;USD
Black-0045;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0045;200;;;1,99;USD
Black-0046;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0046;200;;;1,99;USD
Black-0047;Black;Abstraction;A thin transparent film of 8-10 microns.;Black;Abstraction;30;Lucky Rose;WD-TF-B-0047;200;;;1,99;USD
Black-0048;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0048;200;;;1,99;USD
Black-0049;Black;Flowers;A thin transparent film of 8-10 microns.;Black;Flowers;30;Lucky Rose;WD-TF-B-0049;200;;;1,99;USD
Black-0050;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0050;200;;;1,99;USD
Black-0051;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0051;200;;;1,99;USD
Black-0052;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0052;200;;;1,99;USD
Black-0053;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0053;200;;;1,99;USD
Black-0054;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0054;200;;;1,99;USD
Black-0055;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0055;200;;;1,99;USD
Black-0056;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0056;200;;;1,99;USD
Black-0057;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0057;200;;;1,99;USD
Black-0058;Black;Seosons;A thin transparent film of 8-10 microns.;Black;Seosons;30;Lucky Rose;WD-TF-B-0058;200;;;1,99;USD
Black-0059;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0059;200;;;1,99;USD
Black-0060;Black;Inscriptions;A thin transparent film of 8-10 microns.;Black;Inscriptions;30;Lucky Rose;WD-TF-B-0060;200;;;1,99;USD
Black-0061;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0061;200;;;1,99;USD
Black-0062;Black;Seosons;A thin transparent film of 8-10 microns.;Black;Seosons;30;Lucky Rose;WD-TF-B-0062;200;;;1,99;USD
Coloring-0001;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0001;100;;;1,99;USD
Coloring-0002;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0002;100;;;1,99;USD
Coloring-0003;Black;Pattern;A thin transparent film of 8-10 microns.;Coloring;Pattern;14;Lucky Rose;WD-TF-C-0003;100;;;1,99;USD
Coloring-0004;Black;Fruits;A thin transparent film of 8-10 microns.;Coloring;Fruits;14;Lucky Rose;WD-TF-C-0004;100;;;1,99;USD
Coloring-0005;Black;Floral;A thin transparent film of 8-10 microns.;Coloring;Floral;14;Lucky Rose;WD-TF-C-0005;100;;;1,99;USD
Coloring-0006;Black;Butterfly;A thin transparent film of 8-10 microns.;Coloring;Butterfly;14;Lucky Rose;WD-TF-C-0006;100;;;1,99;USD
Coloring-0007;Black;Geometry;A thin transparent film of 8-10 microns.;Coloring;Geometry;14;Lucky Rose;WD-TF-C-0007;100;;;1,99;USD
